"","year","quarter","GEOID","N_housing"
"430",2013,3,"06075025100",1
"431",2013,3,"06075015500",1
"432",2013,3,"06075012800",1
"433",2013,3,"06075026402",1
"434",2013,3,"06075017802",1
"435",2013,3,"06075032700",1
"436",2013,3,"06075025600",1
"437",2013,3,"06075015801",1
"438",2013,3,"06075047802",1
"439",2013,3,"06075031100",2
"440",2013,3,"06075035100",2
"441",2013,3,"06075020402",1
"442",2013,3,"06075016802",2
"443",2013,3,"06075025500",1
"444",2013,3,"06075021800",1
"445",2013,3,"06075013000",1
"446",2013,3,"06075017601",1
"447",2013,3,"06075026001",2
"448",2013,3,"06075015802",1
"449",2013,3,"06075016200",1
"450",2013,3,"06075025701",1
"451",2013,3,"06075022704",1
"452",2013,3,"06075045200",1
"453",2013,3,"06075023003",1
"454",2013,3,"06075023103",1
"455",2013,3,"06075023300",1
"456",2013,3,"06075021300",1
"457",2013,3,"06075026100",1
"458",2013,3,"06075020600",1
"459",2013,3,"06075025402",1
"460",2013,3,"06075031201",1
"461",2013,2,"06075026303",1
"462",2013,2,"06075021200",2
"463",2013,2,"06075061100",1
"464",2013,2,"06075011800",1
"465",2013,2,"06075030800",1
"466",2013,2,"06075031202",2
"467",2013,2,"06075025402",1
"468",2013,2,"06075026100",1
"469",2013,2,"06075012301",1
"470",2013,2,"06075011000",1
"471",2013,2,"06075025401",1
"472",2013,2,"06075012800",1
"473",2013,2,"06075013200",1
"474",2013,2,"06075010200",1
"475",2013,2,"06075032700",2
"476",2013,2,"06075026403",1
"477",2013,2,"06075023003",2
"478",2013,2,"06075023200",1
"479",2013,2,"06075017601",2
"480",2013,2,"06075017802",3
"481",2013,2,"06075016900",2
"482",2013,2,"06075015801",1
"483",2013,2,"06075016802",2
"484",2013,2,"06075033000",1
"485",2013,2,"06075020500",1
"486",2013,2,"06075025500",1
"487",2013,2,"06075023001",2
"488",2013,2,"06075020401",1
"489",2013,2,"06075012000",2
"490",2013,2,"06075022901",1
"491",2013,2,"06075031302",1
"492",2013,2,"06075020100",1
"493",2013,2,"06075012201",1
"494",2013,2,"06075020200",1
"495",2013,2,"06075015200",1
"496",2013,2,"06075023103",1
"497",2013,2,"06075032902",2
"498",2013,2,"06075021700",1
"499",2013,2,"06075012901",1
"500",2013,1,"06075012902",3
"501",2013,1,"06075012901",1
"502",2013,1,"06075023003",1
"503",2013,1,"06075042602",2
"504",2013,1,"06075031202",1
"505",2013,1,"06075032700",1
"506",2013,1,"06075016500",1
"507",2013,1,"06075021400",1
"508",2013,1,"06075026001",1
"509",2013,1,"06075031201",4
"510",2013,1,"06075017102",2
"511",2013,1,"06075031301",1
"512",2013,1,"06075031302",1
"513",2013,1,"06075023001",1
"514",2013,1,"06075061400",1
"515",2013,1,"06075011100",1
"516",2013,1,"06075061200",1
"517",2013,1,"06075033000",2
"518",2013,1,"06075047600",1
"519",2013,1,"06075045100",1
"520",2013,1,"06075021700",2
"521",2013,1,"06075030101",1
"522",2013,1,"06075025200",2
"523",2013,1,"06075061500",1
"524",2013,1,"06075031400",1
"525",2013,1,"06075016000",1
"526",2013,1,"06075023200",1
"527",2013,1,"06075025500",1
"528",2013,1,"06075013000",1
"529",2013,1,"06075025701",2
"530",2013,1,"06075017802",1
"531",2013,1,"06075035300",1
"532",2013,1,"06075047901",2
"533",2013,1,"06075025100",1
"534",2013,1,"06075030400",1
"535",2013,1,"06075016700",1
"536",2013,1,"06075015300",1
"537",2013,1,"06075040100",1
"538",2013,1,"06075016200",1
"539",2013,1,"06075021500",2
"540",2013,1,"06075040200",1
"541",2013,1,"06075035202",1
"542",2013,1,"06075030700",1
"543",2013,1,"06075047802",1
"544",2013,1,"06075020200",1
"545",2013,1,"06075023300",1
"546",2013,1,"06075047902",1
"547",2013,1,"06075026403",1
"548",2013,1,"06075011902",1
"549",2013,1,"06075030301",3
"550",2013,1,"06075026003",1
"551",2014,4,"06075980900",1
"552",2014,4,"06075017101",1
"553",2014,4,"06075023001",1
"554",2014,4,"06075016802",1
"555",2014,4,"06075021000",2
"556",2014,4,"06075060700",3
"557",2014,4,"06075033203",4
"558",2014,4,"06075021600",2
"559",2014,4,"06075022902",1
"560",2014,4,"06075022903",1
"561",2014,4,"06075013400",1
"562",2014,4,"06075022801",1
"563",2014,4,"06075020200",1
"564",2014,4,"06075016900",2
"565",2014,4,"06075017700",1
"566",2014,4,"06075016300",1
"567",2014,4,"06075021800",2
"568",2014,4,"06075025701",2
"569",2014,4,"06075012602",1
"570",2014,4,"06075013000",1
"571",2014,4,"06075061500",2
"572",2014,4,"06075022803",1
"573",2014,4,"06075015400",1
"574",2014,4,"06075047701",1
"575",2014,4,"06075032601",1
"576",2014,4,"06075017601",2
"577",2014,4,"06075031201",1
"578",2014,4,"06075060502",1
"579",2014,4,"06075011000",3
"580",2014,4,"06075022600",1
"581",2014,4,"06075012700",1
"582",2014,4,"06075061400",1
"583",2014,4,"06075026002",2
"584",2014,4,"06075012501",1
"585",2014,4,"06075012402",1
"586",2014,4,"06075047801",1
"587",2014,4,"06075021300",1
"588",2014,4,"06075020300",2
"589",2014,4,"06075025200",1
"590",2014,4,"06075015700",1
"591",2014,4,"06075010900",1
"592",2014,4,"06075026401",1
"593",2014,4,"06075042700",1
"594",2014,3,"06075022903",1
"595",2014,3,"06075021600",6
"596",2014,3,"06075016400",1
"597",2014,3,"06075030700",3
"598",2014,3,"06075031100",1
"599",2014,3,"06075047600",1
"600",2014,3,"06075013000",1
"601",2014,3,"06075025100",2
"602",2014,3,"06075031201",2
"603",2014,3,"06075022704",1
"604",2014,3,"06075025200",1
"605",2014,3,"06075017601",1
"606",2014,3,"06075020500",2
"607",2014,3,"06075045200",1
"608",2014,3,"06075012901",2
"609",2014,3,"06075011300",1
"610",2014,3,"06075012000",1
"611",2014,3,"06075022600",1
"612",2014,3,"06075017700",1
"613",2014,3,"06075011700",1
"614",2014,3,"06075021300",2
"615",2014,3,"06075010400",1
"616",2014,3,"06075061000",4
"617",2014,3,"06075035201",1
"618",2014,3,"06075021200",1
"619",2014,3,"06075021000",1
"620",2014,3,"06075020600",1
"621",2014,3,"06075020200",1
"622",2014,3,"06075031400",1
"623",2014,3,"06075020401",1
"624",2014,3,"06075060700",2
"625",2014,3,"06075026003",1
"626",2014,3,"06075016801",1
"627",2014,3,"06075025300",1
"628",2014,3,"06075010600",1
"629",2014,3,"06075010200",1
"630",2014,3,"06075047702",1
"631",2014,3,"06075015400",1
"632",2014,3,"06075015802",1
"633",2014,3,"06075025401",1
"634",2014,2,"06075020900",1
"635",2014,2,"06075020300",1
"636",2014,2,"06075022803",1
"637",2014,2,"06075010900",1
"638",2014,2,"06075021200",1
"639",2014,2,"06075016200",1
"640",2014,2,"06075011300",1
"641",2014,2,"06075020600",3
"642",2014,2,"06075017802",2
"643",2014,2,"06075061500",1
"644",2014,2,"06075015700",2
"645",2014,2,"06075026200",1
"646",2014,2,"06075021800",1
"647",2014,2,"06075020401",1
"648",2014,2,"06075015600",2
"649",2014,2,"06075040100",1
"650",2014,2,"06075020100",1
"651",2014,2,"06075010200",2
"652",2014,2,"06075021600",1
"653",2014,2,"06075030600",1
"654",2014,2,"06075061400",1
"655",2014,2,"06075013000",1
"656",2014,2,"06075015400",1
"657",2014,2,"06075011100",1
"658",2014,2,"06075012201",1
"659",2014,2,"06075023102",1
"660",2014,2,"06075021700",1
"661",2014,2,"06075030301",1
"662",2014,2,"06075013200",1
"663",2014,2,"06075012700",1
"664",2014,2,"06075023103",14
"665",2014,2,"06075026303",1
"666",2014,2,"06075025500",1
"667",2014,2,"06075016700",1
"668",2014,2,"06075025702",1
"669",2014,2,"06075022704",1
"670",2014,2,"06075013400",1
"671",2014,2,"06075013300",1
"672",2014,2,"06075026302",1
"673",2014,2,"06075012000",1
"674",2014,2,"06075023003",6
"675",2014,1,"06075020800",1
